TimeFrame,DateTime,Year_Quarter,Time_Period,Year,Quarter,Location Id,Territorial_Authority,Dwelling Type,Number Of Beds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Active Bonds,Total Bonds,Closed Bonds
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,135500.0,Auckland,House,3,630.0,608.0,650.0,550.0,81,12,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,135600.0,Auckland,House,3,578.0,573.0,593.0,574.0,120,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,135700.0,Auckland,House,3,763.0,700.0,804.0,750.0,72,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,135800.0,Auckland,House,3,700.0,677.0,738.0,655.0,60,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,136000.0,Auckland,House,3,700.0,705.0,735.0,675.0,24,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,136300.0,Auckland,House,3,720.0,703.0,814.0,584.0,99,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,136400.0,Auckland,House,3,920.0,951.0,1000.0,753.0,87,15,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,136500.0,Auckland,House,3,573.0,574.0,603.0,543.0,162,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,136600.0,Auckland,House,3,575.0,604.0,605.0,550.0,105,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137000.0,Auckland,House,3,645.0,653.0,683.0,623.0,57,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137100.0,Auckland,House,3,585.0,575.0,600.0,555.0,81,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137200.0,Auckland,House,3,600.0,552.0,625.0,543.0,123,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137400.0,Auckland,House,3,950.0,1012.0,1256.0,850.0,87,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137600.0,Auckland,House,3,655.0,699.0,741.0,596.0,81,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137700.0,Auckland,House,3,740.0,741.0,765.0,704.0,42,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,137900.0,Auckland,House,3,625.0,605.0,670.0,550.0,78,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138000.0,Auckland,House,3,600.0,589.0,630.0,550.0,72,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138100.0,Auckland,House,3,780.0,745.0,823.0,640.0,72,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138200.0,Auckland,House,3,670.0,681.0,780.0,600.0,90,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138300.0,Auckland,House,3,590.0,604.0,653.0,580.0,147,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138400.0,Auckland,House,3,720.0,747.0,740.0,650.0,72,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138500.0,Auckland,House,3,1218.0,1210.0,1438.0,986.0,60,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138600.0,Auckland,House,3,600.0,594.0,616.0,584.0,84,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138700.0,Auckland,House,3,653.0,708.0,823.0,613.0,39,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,138900.0,Auckland,House,3,600.0,603.0,621.0,580.0,120,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139000.0,Auckland,House,3,800.0,802.0,900.0,700.0,36,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139100.0,Auckland,House,3,603.0,646.0,671.0,588.0,36,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139300.0,Auckland,House,3,765.0,785.0,835.0,688.0,57,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139400.0,Auckland,House,3,795.0,822.0,925.0,720.0,66,15,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139500.0,Auckland,House,3,620.0,586.0,695.0,563.0,57,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139600.0,Auckland,House,3,580.0,570.0,605.0,568.0,117,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139700.0,Auckland,House,3,620.0,586.0,653.0,525.0,120,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139800.0,Auckland,House,3,595.0,593.0,620.0,570.0,159,21,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,139900.0,Auckland,House,3,750.0,733.0,795.0,675.0,72,15,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140000.0,Auckland,House,3,708.0,635.0,750.0,609.0,60,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140100.0,Auckland,House,3,750.0,757.0,793.0,723.0,69,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140400.0,Auckland,House,3,583.0,605.0,650.0,550.0,117,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140500.0,Auckland,House,3,923.0,861.0,984.0,793.0,57,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140700.0,Auckland,House,3,590.0,602.0,643.0,556.0,51,12,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140800.0,Auckland,House,3,710.0,731.0,776.0,693.0,69,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,140900.0,Auckland,House,3,575.0,575.0,595.0,550.0,129,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141000.0,Auckland,House,3,860.0,811.0,885.0,720.0,84,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141100.0,Auckland,House,3,850.0,832.0,940.0,765.0,87,15,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141200.0,Auckland,House,3,710.0,708.0,745.0,680.0,42,9,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141300.0,Auckland,House,3,610.0,519.0,635.0,570.0,72,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141500.0,Auckland,House,3,670.0,694.0,709.0,658.0,36,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141700.0,Auckland,House,3,745.0,721.0,830.0,698.0,39,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141800.0,Auckland,House,3,865.0,850.0,938.0,770.0,72,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,141900.0,Auckland,House,3,750.0,734.0,783.0,648.0,66,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142000.0,Auckland,House,3,645.0,657.0,669.0,625.0,93,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142100.0,Auckland,House,3,610.0,641.0,640.0,585.0,120,9,12
